# 2D brain simulation: Stokes pressure variance in radial direction as a function of fluid path width
#
# --- Brain parameters (fixed) --- #
# lc = 1.000000e-03 
# arcLen = 0.100000 m
# r_brain = 0.010000 m
# d_ratio = NaN
# r_curv = 0.050000 m
# inner_perturb = (x,z) -> 0.3e-3 * cos(pi * abs(x) / 2e-3) 
# outer_perturb = (x,z) -> 0.0 
# BS_points = 1000
# field_Lc_lim = (0.500000, 1.000000) 
# field_Dist_lim = (0.001000, 0.005000) m 
#
# --- PDE parameters (fixed=) --- #
# μ = 8.000000e-04 Pa*s
# Κ = 1.000000e-16 m^2
# α = (x) -> 1*μ/sqrt(Κ)
# ps0 = (x) -> x[1] < 0 ? 1*133.3224 : 0.
# ∇pd0 = (x) -> VectorValue(0.0, 0.0)
#
# --- Sampling --- #
# num_samples = 10
# num_rad_lines = 100
# width = [5.000e-03, 4.556e-03, 4.111e-03, 3.667e-03, 3.222e-03, 2.778e-03, 2.333e-03, 1.889e-03, 1.444e-03, 1.000e-03]
#
# --- Data --- #
mean_pos_x, mean_pos_y, rad_len, variance
-3.957664e-02, 2.653307e-02, 4.604379e-03, 4.777383e-07
-3.896362e-02, 2.725563e-02, 4.799345e-03, 1.700288e-05
-3.827007e-02, 2.791513e-02, 5.161349e-03, 3.431190e-06
-3.773837e-02, 2.868913e-02, 5.089641e-03, 1.107344e-05
-3.731438e-02, 2.955070e-02, 4.703221e-03, 1.056711e-05
-3.674503e-02, 3.030280e-02, 4.643359e-03, 5.560388e-06
-3.599894e-02, 3.090522e-02, 5.009395e-03, 1.721067e-05
-3.531115e-02, 3.155051e-02, 5.193889e-03, 6.677063e-07
-3.479054e-02, 3.234674e-02, 4.890670e-03, 2.219791e-05
-3.424664e-02, 3.312930e-02, 4.602934e-03, 2.621152e-07
-3.351161e-02, 3.372811e-02, 4.808183e-03, 2.042757e-05
-3.271370e-02, 3.425574e-02, 5.165803e-03, 4.117310e-06
-3.205723e-02, 3.492753e-02, 5.082320e-03, 1.363831e-05
-3.148703e-02, 3.570020e-02, 4.696274e-03, 1.438582e-05
-3.078947e-02, 3.633496e-02, 4.648314e-03, 7.829576e-06
-2.994729e-02, 3.679412e-02, 5.018030e-03, 2.041852e-05
-2.915934e-02, 3.731139e-02, 5.191874e-03, 1.110517e-06
-2.850800e-02, 3.800566e-02, 4.881349e-03, 2.794112e-05
-2.783152e-02, 3.867615e-02, 4.601776e-03, 1.328469e-07
-2.699910e-02, 3.913103e-02, 4.817109e-03, 2.830123e-05
-2.612168e-02, 3.951077e-02, 5.170001e-03, 4.735372e-06
-2.535967e-02, 4.006046e-02, 5.074822e-03, 1.753008e-05
-2.466128e-02, 4.071953e-02, 4.689524e-03, 1.762661e-05
-2.385919e-02, 4.121544e-02, 4.653513e-03, 1.215874e-05
-2.294819e-02, 4.151655e-02, 5.026551e-03, 2.450818e-05
-2.208362e-02, 4.189069e-02, 5.189576e-03, 1.828785e-06
-2.132107e-02, 4.246163e-02, 4.872046e-03, 3.524878e-05
-2.053454e-02, 4.299781e-02, 4.600907e-03, 4.582011e-08
-1.963262e-02, 4.329343e-02, 4.826116e-03, 3.710761e-05
-1.870286e-02, 4.351390e-02, 5.173937e-03, 5.427022e-06
-1.785770e-02, 4.392516e-02, 5.067156e-03, 2.307849e-05
-1.705325e-02, 4.444949e-02, 4.682977e-03, 2.663166e-05
-1.617386e-02, 4.478974e-02, 4.658951e-03, 1.620953e-05
-1.522348e-02, 4.492316e-02, 5.034949e-03, 2.979843e-05
-1.430802e-02, 4.514331e-02, 5.186997e-03, 2.898340e-06
-1.345726e-02, 4.557325e-02, 4.862770e-03, 4.550603e-05
-1.258690e-02, 4.595734e-02, 4.600326e-03, 6.281801e-08
-1.164567e-02, 4.608370e-02, 4.835195e-03, 4.728753e-05
-1.069225e-02, 4.613847e-02, 5.177608e-03, 5.859511e-06
-9.788787e-03, 4.639901e-02, 5.059327e-03, 3.125088e-05
-8.903919e-03, 4.677170e-02, 4.676641e-03, 3.133739e-05
-7.977068e-03, 4.694476e-02, 4.664622e-03, 2.736992e-05
-7.017955e-03, 4.690630e-02, 5.043216e-03, 3.747828e-05
-6.078758e-03, 4.696618e-02, 5.184141e-03, 5.151085e-06
-5.165572e-03, 4.724166e-02, 4.853531e-03, 6.390564e-05
-4.240421e-03, 4.746093e-02, 4.600036e-03, 2.500675e-07
-3.291372e-03, 4.741373e-02, 4.844336e-03, 6.405033e-05
-2.343572e-03, 4.730147e-02, 5.181011e-03, 7.074122e-06
-1.408436e-03, 4.740341e-02, 5.051345e-03, 4.470014e-05
-4.714254e-04, 4.761241e-02, 4.670520e-03, 3.835422e-05
4.714254e-04, 4.761241e-02, 4.670520e-03, 4.045669e-05
1.408436e-03, 4.740341e-02, 5.051345e-03, 5.140083e-05
2.343572e-03, 4.730147e-02, 5.181011e-03, 9.585504e-06
3.291372e-03, 4.741373e-02, 4.844336e-03, 9.029259e-05
4.240421e-03, 4.746093e-02, 4.600036e-03, 1.011534e-06
