# 2D brain simulation: Stokes pressure variance in radial direction as a function of fluid path width
#
# --- Brain parameters (fixed) --- #
# lc = 1.000000e-03 
# arcLen = 0.100000 m
# r_brain = 0.010000 m
# d_ratio = NaN
# r_curv = 0.050000 m
# inner_perturb = (x,z) -> 0.3e-3 * cos(pi * abs(x) / 2e-3) 
# outer_perturb = (x,z) -> 0.0 
# BS_points = 1000
# field_Lc_lim = (0.500000, 1.000000) 
# field_Dist_lim = (0.001000, 0.005000) m 
#
# --- PDE parameters (fixed=) --- #
# μ = 8.000000e-04 Pa*s
# Κ = 1.000000e-06 m^2
# α = (x) -> 1*μ/sqrt(Κ)
# ps0 = (x) -> x[1] < 0 ? 1*133.3224 : 0.
# ∇pd0 = (x) -> VectorValue(0.0, 0.0)
#
# --- Sampling --- #
# num_samples = 5
# num_rad_lines = 100
# width = [5.000e-03, 3.875e-03, 2.750e-03, 1.625e-03, 5.000e-04]
#
# --- Data --- #
mean_pos_x, mean_pos_y, rad_len, variance
-3.957664e-02, 2.653307e-02, 4.604379e-03, 1.614803e-01
-3.896362e-02, 2.725563e-02, 4.799345e-03, 4.846215e-02
-3.827007e-02, 2.791513e-02, 5.161349e-03, 8.651076e-02
-3.773837e-02, 2.868913e-02, 5.089641e-03, 7.651142e-02
-3.731438e-02, 2.955070e-02, 4.703221e-03, 5.189865e-03
-3.674503e-02, 3.030280e-02, 4.643359e-03, 3.582492e-02
-3.599894e-02, 3.090522e-02, 5.009395e-03, 2.318914e-02
-3.531115e-02, 3.155051e-02, 5.193889e-03, 4.690445e-03
-3.479054e-02, 3.234674e-02, 4.890670e-03, 1.795360e-02
-3.424664e-02, 3.312930e-02, 4.602934e-03, 5.679941e-04
-3.351161e-02, 3.372811e-02, 4.808183e-03, 2.164213e-02
-3.271370e-02, 3.425574e-02, 5.165803e-03, 3.031925e-03
-3.205723e-02, 3.492753e-02, 5.082320e-03, 1.391492e-02
-3.148703e-02, 3.570020e-02, 4.696274e-03, 9.917149e-03
-3.078947e-02, 3.633496e-02, 4.648314e-03, 6.904567e-03
-2.994729e-02, 3.679412e-02, 5.018030e-03, 1.567927e-02
-2.915934e-02, 3.731139e-02, 5.191874e-03, 1.348945e-03
-2.850800e-02, 3.800566e-02, 4.881349e-03, 1.919873e-02
-2.783152e-02, 3.867615e-02, 4.601776e-03, 7.279428e-05
-2.699910e-02, 3.913103e-02, 4.817109e-03, 1.813920e-02
-2.612168e-02, 3.951077e-02, 5.170001e-03, 3.811612e-03
-2.535967e-02, 4.006046e-02, 5.074822e-03, 1.257400e-02
-2.466128e-02, 4.071953e-02, 4.689524e-03, 1.074668e-02
-2.385919e-02, 4.121544e-02, 4.653513e-03, 7.067104e-03
-2.294819e-02, 4.151655e-02, 5.026551e-03, 1.529952e-02
-2.208362e-02, 4.189069e-02, 5.189576e-03, 1.440823e-03
-2.132107e-02, 4.246163e-02, 4.872046e-03, 1.894534e-02
-2.053454e-02, 4.299781e-02, 4.600907e-03, 1.646620e-05
-1.963262e-02, 4.329343e-02, 4.826116e-03, 1.844920e-02
-1.870286e-02, 4.351390e-02, 5.173937e-03, 3.624683e-03
-1.785770e-02, 4.392516e-02, 5.067156e-03, 1.288995e-02
-1.705325e-02, 4.444949e-02, 4.682977e-03, 1.248764e-02
-1.617386e-02, 4.478974e-02, 4.658951e-03, 7.408497e-03
-1.522348e-02, 4.492316e-02, 5.034949e-03, 1.464308e-02
-1.430802e-02, 4.514331e-02, 5.186997e-03, 1.736483e-03
-1.345726e-02, 4.557325e-02, 4.862770e-03, 1.907309e-02
-1.258690e-02, 4.595734e-02, 4.600326e-03, 9.425729e-06
-1.164567e-02, 4.608370e-02, 4.835195e-03, 1.801888e-02
-1.069225e-02, 4.613847e-02, 5.177608e-03, 3.045906e-03
-9.788787e-03, 4.639901e-02, 5.059327e-03, 1.336058e-02
-8.903919e-03, 4.677170e-02, 4.676641e-03, 1.123511e-02
-7.977068e-03, 4.694476e-02, 4.664622e-03, 9.147711e-03
-7.017955e-03, 4.690630e-02, 5.043216e-03, 1.407555e-02
-6.078758e-03, 4.696618e-02, 5.184141e-03, 2.264790e-03
-5.165572e-03, 4.724166e-02, 4.853531e-03, 1.936536e-02
-4.240421e-03, 4.746093e-02, 4.600036e-03, 7.722516e-05
-3.291372e-03, 4.741373e-02, 4.844336e-03, 1.817758e-02
-2.343572e-03, 4.730147e-02, 5.181011e-03, 2.768886e-03
-1.408436e-03, 4.740341e-02, 5.051345e-03, 1.375941e-02
