# 3D brain simulation: Stokes normal velocity on interface as a function of fluid path width
#
# --- Brain parameters (fixed) --- #
# lc = 2.000000e-03 
# arcLen = (0.05, 0.03) m
# r_brain = 0.010000 m
# d_ratio = NaN
# r_curv = 0.050000 m
# inner_perturb = (x,z) -> 0.001000 * (sin(abs(x) * 628.318531 - pi/2) * fld(mod2pi(abs(x) * 628.318531 - pi/2),pi) + sin(abs(z) * 628.318531 - pi/2) * fld(mod2pi(abs(z) * 628.318531 - pi/2),pi)) 
# outer_perturb = (x,z) -> 0.0
# BS_points = (200, 200)
# field_Lc_lim = (0.500000, 1.000000) 
# field_Dist_lim = (0.001000, 0.005000) m 
#
# --- PDE parameters (fixed=) --- #
# μ = 8.000000e-04 Pa*s
# Κ = 1.000000e-16 m^2
# α = (x) -> 1*μ/sqrt(Κ)
# ps0 = (x) -> x[1] < 0 ? 1*133.3224 : 0.
# ∇pd0 = (x) -> VectorValue(0.0, 0.0, 0.0)
#
# --- Sampling --- #
# num_samples = 20
# width = [5.000e-03, 4.763e-03, 4.526e-03, 4.289e-03, 4.053e-03, 3.816e-03, 3.579e-03, 3.342e-03, 3.105e-03, 2.868e-03, 2.632e-03, 2.395e-03, 2.158e-03, 1.921e-03, 1.684e-03, 1.447e-03, 1.211e-03, 9.737e-04, 7.368e-04, 5.000e-04]
#
# --- Data --- #
width, u⋅n̂, (u⋅n̂)², u⋅u 
5.000000e-03, 4.129199e-22, 4.791080e-10, 4.221500e-08
4.763158e-03, -8.333957e-21, 3.929649e-10, 4.095491e-08
4.526316e-03, 1.054375e-21, 3.552546e-10, 3.752046e-08
4.289474e-03, 4.531443e-22, 2.958584e-10, 3.330520e-08
4.052632e-03, 2.301077e-22, 2.529298e-10, 3.221030e-08
3.815789e-03, 9.522488e-23, 2.085442e-10, 2.958374e-08
3.578947e-03, -1.391680e-23, 1.824608e-10, 2.870061e-08
3.342105e-03, 2.098254e-22, 1.654012e-10, 2.570243e-08
3.105263e-03, 5.499641e-23, 1.320234e-10, 2.323356e-08
2.868421e-03, 5.563856e-23, 1.145836e-10, 2.083492e-08
2.631579e-03, 8.386572e-23, 1.107567e-10, 1.829502e-08
2.394737e-03, -2.382924e-22, 1.274082e-09, 7.459497e-08
2.157895e-03, -5.052889e-22, 1.024873e-09, 7.381553e-08
1.921053e-03, -4.295048e-22, 7.516459e-10, 7.121169e-08
1.684211e-03, 2.987110e-21, 5.620123e-11, 9.306311e-09
1.447368e-03, -1.124129e-23, 4.070128e-11, 7.213797e-09
1.210526e-03, 4.773468e-23, 2.704245e-11, 5.507802e-09
9.736842e-04, 8.700907e-22, 1.907376e-11, 4.057007e-09
7.368421e-04, 1.892579e-21, 1.370473e-11, 2.784240e-09
5.000000e-04, 4.752217e-23, 5.941943e-12, 1.725586e-09
