# 2D brain simulation: Stokes normal velocity on interface as a function of fluid path width
#
# --- Brain parameters (fixed) --- #
# lc = 2.000000e-04 
# arcLen = 0.100000 m
# r_brain = 0.010000 m
# d_ratio = NaN
# r_curv = 0.050000 m
# inner_perturb = (x,z) -> 0.001000 * sin(abs(x) * 628.318531 - pi/2) * fld(mod2pi(abs(x) * 628.318531 - pi/2),pi) 
# outer_perturb = (x,z) -> 0.0
# BS_points = 3000
# field_Lc_lim = (0.500000, 1.000000) 
# field_Dist_lim = (0.001000, 0.005000) m 
#
# --- PDE parameters (fixed=) --- #
# μ = 8.000000e-04 Pa*s
# Κ = 1.000000e-14 m^2
# α = (x) -> 1*μ/sqrt(Κ)
# ps0 = (x) -> x[1] < 0 ? 1*133.3224 : 0.
# ∇pd0 = (x) -> VectorValue(0.0, 0.0)
#
# --- Sampling --- #
# num_samples = 20
# width = [5.000e-03, 4.763e-03, 4.526e-03, 4.289e-03, 4.053e-03, 3.816e-03, 3.579e-03, 3.342e-03, 3.105e-03, 2.868e-03, 2.632e-03, 2.395e-03, 2.158e-03, 1.921e-03, 1.684e-03, 1.447e-03, 1.211e-03, 9.737e-04, 7.368e-04, 5.000e-04]
#
# --- Data --- #
width, u×n̂, (u×n̂)²
5.000000e-03, 4.637704e-20, 6.229905e-12
4.763158e-03, 5.081291e-20, 3.118710e-12
4.526316e-03, 5.014692e-20, 2.997405e-12
4.289474e-03, 4.967589e-20, 3.999788e-12
4.052632e-03, 5.805606e-20, 2.077223e-12
3.815789e-03, 5.383187e-20, 3.124450e-12
3.578947e-03, 5.226109e-20, 2.579650e-12
3.342105e-03, 5.628255e-20, 1.345338e-12
3.105263e-03, 5.685584e-20, 1.989233e-12
2.868421e-03, 5.468324e-20, 9.851251e-13
2.631579e-03, 6.276246e-20, 8.228323e-13
2.394737e-03, 5.806834e-20, 7.093341e-13
2.157895e-03, 5.999464e-20, 9.071064e-13
1.921053e-03, 6.422428e-20, 6.570171e-13
1.684211e-03, 5.853561e-20, 3.086399e-13
1.447368e-03, 6.308191e-20, 3.831249e-13
1.210526e-03, 5.813512e-20, 2.293394e-13
9.736842e-04, 6.381441e-20, 1.101731e-13
7.368421e-04, 6.460296e-20, 7.772971e-14
5.000000e-04, 6.534446e-20, 3.800895e-14
