# 2D brain simulation: Stokes pressure variance in radial direction as a function of fluid path width
#
# --- Brain parameters (fixed) --- #
# lc = 2.000000e-04 
# arcLen = 0.100000 m
# r_brain = 0.010000 m
# d_ratio = NaN
# r_curv = 0.050000 m
# inner_perturb = (x,z) -> 0.002500 * sin(abs(x) * 628.318531 - pi/2) * fld(mod2pi(abs(x) * 628.318531 - pi/2),pi)
# outer_perturb = (x,z) -> 0.0
# BS_points = 4000
# field_Lc_lim = (0.500000, 1.000000) 
# field_Dist_lim = (0.001000, 0.005000) m 
#
# --- PDE parameters (fixed=) --- #
# μ = 8.000000e-04 Pa*s
# Κ = 1.000000e-16 m^2
# α = (x) -> 1*μ/sqrt(Κ)
# ps0 = (x) -> x[1] < 0 ? 1*133.3224 : 0.
# ∇pd0 = (x) -> VectorValue(0.0, 0.0)
#
# --- Sampling --- #
# num_samples = 20
# num_rad_lines = 300
# width = [5.000e-03, 4.763e-03, 4.526e-03, 4.289e-03, 4.053e-03, 3.816e-03, 3.579e-03, 3.342e-03, 3.105e-03, 2.868e-03, 2.632e-03, 2.395e-03, 2.158e-03, 1.921e-03, 1.684e-03, 1.447e-03, 1.211e-03, 9.737e-04, 7.368e-04, 5.000e-04]
#
# --- Data --- #
mean_pos_x, mean_pos_y, rad_len, variance
-3.979846e-02, 2.592937e-02, 4.900000e-03, 2.744128e-04
-3.962530e-02, 2.619324e-02, 4.900000e-03, 1.082548e-03
-3.945038e-02, 2.645595e-02, 4.900000e-03, 2.392852e-03
-3.927373e-02, 2.671749e-02, 4.900000e-03, 4.220154e-03
-3.909534e-02, 2.697786e-02, 4.900000e-03, 6.849719e-03
-3.891522e-02, 2.723703e-02, 4.900000e-03, 1.167247e-02
-3.873338e-02, 2.749500e-02, 4.900000e-03, 2.383349e-02
-3.854984e-02, 2.775175e-02, 4.900000e-03, 6.497302e-02
-3.824370e-02, 2.791903e-02, 5.199349e-03, 2.032263e+00
-3.787318e-02, 2.803619e-02, 5.657638e-03, 2.116734e+00
-3.751346e-02, 2.815766e-02, 6.089265e-03, 1.621566e+00
-3.717045e-02, 2.828827e-02, 6.479040e-03, 1.090359e+00
-3.684937e-02, 2.843255e-02, 6.813246e-03, 6.508533e-01
-3.655454e-02, 2.859455e-02, 7.080124e-03, 3.325045e-01
-3.628924e-02, 2.877772e-02, 7.270280e-03, 1.281870e-01
-3.605563e-02, 2.898477e-02, 7.377023e-03, 2.216643e-02
-3.585466e-02, 2.921752e-02, 7.396597e-03, 3.115684e-03
-3.568605e-02, 2.947685e-02, 7.328312e-03, 6.876324e-02
-3.554835e-02, 2.976266e-02, 7.174572e-03, 2.265809e-01
-3.543893e-02, 3.007384e-02, 6.940788e-03, 4.912938e-01
-3.535417e-02, 3.040829e-02, 6.635186e-03, 8.759612e-01
-3.528954e-02, 3.076300e-02, 6.268520e-03, 1.371983e+00
-3.523979e-02, 3.113413e-02, 5.853694e-03, 1.905746e+00
-3.519917e-02, 3.151714e-02, 5.405307e-03, 2.204599e+00
-3.516159e-02, 3.190696e-02, 4.939138e-03, 3.682372e-01
-3.496321e-02, 3.215313e-02, 4.900000e-03, 3.828300e-02
-3.474880e-02, 3.238473e-02, 4.900000e-03, 1.567219e-02
-3.453285e-02, 3.261491e-02, 4.900000e-03, 8.592822e-03
-3.431538e-02, 3.284364e-02, 4.900000e-03, 5.250583e-03
-3.409640e-02, 3.307092e-02, 4.900000e-03, 3.132979e-03
-3.387590e-02, 3.329674e-02, 4.900000e-03, 1.602245e-03
-3.365392e-02, 3.352110e-02, 4.900000e-03, 5.668884e-04
-3.343044e-02, 3.374397e-02, 4.900000e-03, 5.308979e-05
-3.320550e-02, 3.396535e-02, 4.900000e-03, 8.731210e-05
-3.297908e-02, 3.418523e-02, 4.900000e-03, 6.666866e-04
-3.275121e-02, 3.440361e-02, 4.900000e-03, 1.762166e-03
-3.252189e-02, 3.462046e-02, 4.900000e-03, 3.343903e-03
-3.229114e-02, 3.483579e-02, 4.900000e-03, 5.539384e-03
-3.205896e-02, 3.504958e-02, 4.900000e-03, 9.056388e-03
-3.182537e-02, 3.526182e-02, 4.900000e-03, 1.680439e-02
-3.159037e-02, 3.547250e-02, 4.900000e-03, 4.148670e-02
-3.132384e-02, 3.564733e-02, 4.991305e-03, 7.993107e-01
-3.093399e-02, 3.567900e-02, 5.456302e-03, 2.205000e+00
-3.055147e-02, 3.571452e-02, 5.901723e-03, 1.851292e+00
-3.018121e-02, 3.576000e-02, 6.311891e-03, 1.314093e+00
-2.982761e-02, 3.582124e-02, 6.672374e-03, 8.287938e-01
-2.949432e-02, 3.590347e-02, 6.970484e-03, 4.575365e-01
-2.918420e-02, 3.601115e-02, 7.195732e-03, 2.051432e-01
-2.889918e-02, 3.614785e-02, 7.340190e-03, 5.777219e-02
-2.864022e-02, 3.631607e-02, 7.398775e-03, 1.200414e-03
-2.840729e-02, 3.651715e-02, 7.369425e-03, 2.890883e-02
-2.819941e-02, 3.675121e-02, 7.253173e-03, 1.442153e-01
-2.801466e-02, 3.701714e-02, 7.054110e-03, 3.591301e-01
-2.785029e-02, 3.731260e-02, 6.779241e-03, 6.889493e-01
-2.770283e-02, 3.763414e-02, 6.438240e-03, 1.137894e+00
-2.756822e-02, 3.797726e-02, 6.043106e-03, 1.668491e+00
-2.744198e-02, 3.833660e-02, 5.607745e-03, 2.128539e+00
-2.731935e-02, 3.870611e-02, 5.147477e-03, 1.839154e+00
-2.713225e-02, 3.898835e-02, 4.900000e-03, 5.763762e-02
-2.687259e-02, 3.916777e-02, 4.900000e-03, 2.207712e-02
-2.661175e-02, 3.934545e-02, 4.900000e-03, 1.095982e-02
-2.634973e-02, 3.952141e-02, 4.900000e-03, 6.526937e-03
-2.608655e-02, 3.969561e-02, 4.900000e-03, 4.000227e-03
-2.582222e-02, 3.986807e-02, 4.900000e-03, 2.231574e-03
-2.555675e-02, 4.003876e-02, 4.900000e-03, 9.723315e-04
-2.529015e-02, 4.020769e-02, 4.900000e-03, 2.179712e-04
-2.502243e-02, 4.037484e-02, 4.900000e-03, 3.457911e-06
-2.475361e-02, 4.054021e-02, 4.900000e-03, 3.408552e-04
-2.448369e-02, 4.070379e-02, 4.900000e-03, 1.210210e-03
-2.421270e-02, 4.086558e-02, 4.900000e-03, 2.576206e-03
-2.394063e-02, 4.102555e-02, 4.900000e-03, 4.478136e-03
-2.366751e-02, 4.118372e-02, 4.900000e-03, 7.264893e-03
-2.339335e-02, 4.134007e-02, 4.900000e-03, 1.253404e-02
-2.311815e-02, 4.149459e-02, 4.900000e-03, 2.639646e-02
-2.284193e-02, 4.164729e-02, 4.900000e-03, 8.607626e-02
-2.248131e-02, 4.164367e-02, 5.251091e-03, 2.082602e+00
-2.209711e-02, 4.159073e-02, 5.707201e-03, 2.047743e+00
-2.172119e-02, 4.154712e-02, 6.134905e-03, 1.548851e+00
-2.135677e-02, 4.151968e-02, 6.519151e-03, 1.029124e+00
-2.100655e-02, 4.151466e-02, 6.846418e-03, 6.054664e-01
-2.067259e-02, 4.153749e-02, 7.105187e-03, 3.021740e-01
-2.035632e-02, 4.159257e-02, 7.286354e-03, 1.106706e-01
-2.005844e-02, 4.168312e-02, 7.383542e-03, 1.552582e-02
-1.977894e-02, 4.181106e-02, 7.393331e-03, 6.360176e-03
-1.951713e-02, 4.197690e-02, 7.315376e-03, 8.207833e-02
-1.927164e-02, 4.217976e-02, 7.152422e-03, 2.512137e-01
-1.904055e-02, 4.241737e-02, 6.910202e-03, 5.288126e-01
-1.882142e-02, 4.268613e-02, 6.597241e-03, 9.266270e-01
-1.861143e-02, 4.298124e-02, 6.224552e-03, 1.431095e+00
-1.840745e-02, 4.329690e-02, 5.805251e-03, 1.957717e+00
-1.820624e-02, 4.362643e-02, 5.354092e-03, 2.183999e+00
-1.800201e-02, 4.395654e-02, 4.900000e-03, 1.824420e-01
-1.770955e-02, 4.407519e-02, 4.900000e-03, 3.278557e-02
-1.741630e-02, 4.419188e-02, 4.900000e-03, 1.439862e-02
-1.712228e-02, 4.430663e-02, 4.900000e-03, 8.085221e-03
-1.682751e-02, 4.441942e-02, 4.900000e-03, 4.973398e-03
-1.653200e-02, 4.453025e-02, 4.900000e-03, 2.946715e-03
-1.623575e-02, 4.463911e-02, 4.900000e-03, 1.471541e-03
-1.593879e-02, 4.474601e-02, 4.900000e-03, 4.902171e-04
