# 2D brain simulation: Stokes normal velocity on interface as a function of fluid path width
#
# --- Brain parameters (fixed) --- #
# lc = 2.000000e-04 
# arcLen = 0.100000 m
# r_brain = 0.010000 m
# d_ratio = NaN
# r_curv = 0.050000 m
# inner_perturb = (x,z) -> 0.005000 * sin(abs(x) * 628.318531 - pi/2) * fld(mod2pi(abs(x) * 628.318531 - pi/2),pi)
# outer_perturb = (x,z) -> 0.0
# BS_points = 4000
# field_Lc_lim = (0.500000, 1.000000) 
# field_Dist_lim = (0.001000, 0.005000) m 
#
# --- PDE parameters (fixed=) --- #
# μ = 8.000000e-04 Pa*s
# Κ = 1.000000e-16 m^2
# α = (x) -> 1*μ/sqrt(Κ)
# ps0 = (x) -> x[1] < 0 ? 1*133.3224 : 0.
# ∇pd0 = (x) -> VectorValue(0.0, 0.0)
#
# --- Sampling --- #
# num_samples = 20
# width = [5.000e-03, 4.763e-03, 4.526e-03, 4.289e-03, 4.053e-03, 3.816e-03, 3.579e-03, 3.342e-03, 3.105e-03, 2.868e-03, 2.632e-03, 2.395e-03, 2.158e-03, 1.921e-03, 1.684e-03, 1.447e-03, 1.211e-03, 9.737e-04, 7.368e-04, 5.000e-04]
#
# --- Data --- #
width, u×n̂, (u×n̂)²
5.000000e-03, -3.136551e-22, 7.579522e-11
4.763158e-03, 9.155770e-24, 7.111560e-11
4.526316e-03, -7.651116e-23, 5.134398e-11
4.289474e-03, -6.496487e-23, 5.309599e-11
4.052632e-03, 2.531488e-23, 4.150913e-11
3.815789e-03, 7.886296e-23, 4.112045e-11
3.578947e-03, 7.803658e-23, 4.431362e-11
3.342105e-03, 1.039885e-22, 2.894720e-11
3.105263e-03, 1.447384e-22, 2.021845e-11
2.868421e-03, 2.704783e-22, 1.414875e-11
2.631579e-03, 2.417205e-22, 2.315793e-11
2.394737e-03, 1.797275e-22, 1.514346e-11
2.157895e-03, 2.085529e-22, 1.115707e-11
1.921053e-03, 2.987411e-22, 9.517531e-12
1.684211e-03, 2.771147e-22, 7.007044e-12
1.447368e-03, 3.466740e-22, 3.814679e-12
1.210526e-03, 3.775624e-22, 3.042378e-12
9.736842e-04, 3.913983e-22, 1.440105e-12
7.368421e-04, 4.443350e-22, 6.561182e-13
5.000000e-04, 4.418409e-22, 2.826357e-13
