# 2D brain simulation: Stokes pressure variance in radial direction as a function of fluid path width
#
# --- Brain parameters (fixed) --- #
# lc = 2.000000e-04 
# arcLen = 0.100000 m
# r_brain = 0.010000 m
# d_ratio = NaN
# r_curv = 0.050000 m
# inner_perturb = (x,z) -> 0.001000 * sin(abs(x) * 6283.185307 - pi/2) * fld(mod2pi(abs(x) * 6283.185307 - pi/2),pi)
# outer_perturb = (x,z) -> 0.0
# BS_points = 3000
# field_Lc_lim = (0.500000, 1.000000) 
# field_Dist_lim = (0.001000, 0.005000) m 
#
# --- PDE parameters (fixed=) --- #
# μ = 8.000000e-04 Pa*s
# Κ = 1.000000e-16 m^2
# α = (x) -> 1*μ/sqrt(Κ)
# ps0 = (x) -> x[1] < 0 ? 1*133.3224 : 0.
# ∇pd0 = (x) -> VectorValue(0.0, 0.0)
#
# --- Sampling --- #
# num_samples = 20
# num_rad_lines = 300
# width = [5.000e-03, 4.763e-03, 4.526e-03, 4.289e-03, 4.053e-03, 3.816e-03, 3.579e-03, 3.342e-03, 3.105e-03, 2.868e-03, 2.632e-03, 2.395e-03, 2.158e-03, 1.921e-03, 1.684e-03, 1.447e-03, 1.211e-03, 9.737e-04, 7.368e-04, 5.000e-04]
#
# --- Data --- #
mean_pos_x, mean_pos_y, rad_len, variance
-3.979846e-02, 2.592937e-02, 4.900000e-03, 3.232500e-02
-3.962530e-02, 2.619324e-02, 4.900000e-03, 2.081990e-03
-3.911907e-02, 2.623377e-02, 5.697832e-03, 6.064412e-02
-3.913617e-02, 2.662391e-02, 5.232741e-03, 2.184912e-01
-3.909534e-02, 2.697786e-02, 4.900000e-03, 1.808718e-05
-3.880336e-02, 2.715874e-02, 5.173072e-03, 2.860083e-01
-3.839335e-02, 2.725362e-02, 5.733998e-03, 4.508436e-02
-3.854984e-02, 2.775175e-02, 4.900000e-03, 4.275037e-03
-3.836459e-02, 2.800728e-02, 4.900000e-03, 1.608009e-02
-3.777657e-02, 2.796467e-02, 5.898040e-03, 1.037398e-03
-3.798903e-02, 2.851462e-02, 4.900000e-03, 2.706482e-02
-3.779872e-02, 2.876641e-02, 4.900000e-03, 2.123529e-03
-3.730648e-02, 2.878524e-02, 5.658539e-03, 4.976566e-02
-3.725909e-02, 2.914568e-02, 5.291105e-03, 1.955004e-01
-3.721784e-02, 2.951411e-02, 4.900000e-03, 2.812859e-05
-3.693816e-02, 2.969423e-02, 5.112334e-03, 2.920106e-01
-3.648634e-02, 2.973227e-02, 5.766894e-03, 2.896176e-02
-3.662216e-02, 3.025008e-02, 4.900000e-03, 4.850239e-03
-3.642036e-02, 3.049275e-02, 4.900000e-03, 8.526192e-03
-3.583870e-02, 3.041309e-02, 5.892167e-03, 1.499502e-03
-3.601193e-02, 3.097403e-02, 4.900000e-03, 2.009430e-02
-3.580533e-02, 3.121263e-02, 4.900000e-03, 2.786007e-03
