# 2D brain simulation: Stokes normal velocity on interface as a function of fluid path width
#
# --- Brain parameters (fixed) --- #
# lc = 2.000000e-04 
# arcLen = 0.100000 m
# r_brain = 0.010000 m
# d_ratio = NaN
# r_curv = 0.050000 m
# inner_perturb = (x,z) -> 0.001000 * sin(abs(x) * 628.318531 - pi/2) * fld(mod2pi(abs(x) * 628.318531 - pi/2),pi)
# outer_perturb = (x,z) -> 0.0
# BS_points = 3000
# field_Lc_lim = (0.500000, 1.000000) 
# field_Dist_lim = (0.001000, 0.005000) m 
#
# --- PDE parameters (fixed=) --- #
# μ = 8.000000e-04 Pa*s
# Κ = 1.000000e-16 m^2
# α = (x) -> 1*μ/sqrt(Κ)
# ps0 = (x) -> x[1] < 0 ? 1*133.3224 : 0.
# ∇pd0 = (x) -> VectorValue(0.0, 0.0)
#
# --- Sampling --- #
# num_samples = 20
# width = [5.000e-03, 4.763e-03, 4.526e-03, 4.289e-03, 4.053e-03, 3.816e-03, 3.579e-03, 3.342e-03, 3.105e-03, 2.868e-03, 2.632e-03, 2.395e-03, 2.158e-03, 1.921e-03, 1.684e-03, 1.447e-03, 1.211e-03, 9.737e-04, 7.368e-04, 5.000e-04]
#
# --- Data --- #
width, u×n̂, (u×n̂)²
5.000000e-03, 2.653592e-22, 5.954265e-12
4.763158e-03, 4.568636e-22, 3.013728e-12
4.526316e-03, 3.010758e-22, 2.893237e-12
4.289474e-03, 3.447302e-22, 3.820506e-12
4.052632e-03, 4.136366e-22, 2.011572e-12
3.815789e-03, 3.859998e-22, 2.986419e-12
3.578947e-03, 3.496231e-22, 2.468280e-12
3.342105e-03, 4.928337e-22, 1.301370e-12
3.105263e-03, 5.616099e-22, 1.899956e-12
2.868421e-03, 4.028903e-22, 9.514131e-13
2.631579e-03, 4.813538e-22, 7.950085e-13
2.394737e-03, 4.677445e-22, 6.827761e-13
2.157895e-03, 5.401221e-22, 8.660395e-13
1.921053e-03, 5.352466e-22, 6.273177e-13
1.684211e-03, 6.227173e-22, 2.982452e-13
1.447368e-03, 6.074676e-22, 3.655952e-13
1.210526e-03, 5.469728e-22, 2.191333e-13
9.736842e-04, 6.507362e-22, 1.057783e-13
7.368421e-04, 6.824773e-22, 7.400140e-14
5.000000e-04, 6.421150e-22, 3.597765e-14
