# 2D brain simulation: Stokes pressure variance in radial direction as a function of fluid path width
#
# --- Brain parameters (fixed) --- #
# lc = 2.000000e-04 
# arcLen = 0.100000 m
# r_brain = 0.010000 m
# d_ratio = NaN
# r_curv = 0.050000 m
# inner_perturb = (x,z) -> 0.001000 * sin(abs(x) * 6283.185307 - pi/2) * fld(mod2pi(abs(x) * 6283.185307 - pi/2),pi) 
# outer_perturb = (x,z) -> 0.0
# BS_points = 3000
# field_Lc_lim = (0.500000, 1.000000) 
# field_Dist_lim = (0.001000, 0.005000) m 
#
# --- PDE parameters (fixed=) --- #
# μ = 8.000000e-04 Pa*s
# Κ = 1.000000e-16 m^2
# α = (x) -> 1*μ/sqrt(Κ)
# ps0 = (x) -> x[1] < 0 ? 1*133.3224 : 0.
# ∇pd0 = (x) -> VectorValue(0.0, 0.0)
#
# --- Sampling --- #
# num_samples = 5
# num_rad_lines = 100
# width = [5.000e-03, 3.875e-03, 2.750e-03, 1.625e-03, 5.000e-04]
#
# --- Data --- #
mean_pos_x, mean_pos_y, rad_len, variance
-3.913206e-02, 2.623502e-02, 5.674857e-03, 6.923644e-02
-3.884011e-02, 2.716924e-02, 5.100807e-03, 2.758597e-01
-3.837565e-02, 2.799214e-02, 4.900000e-03, 1.318468e-02
-3.781386e-02, 2.874651e-02, 4.900000e-03, 1.469289e-03
-3.723724e-02, 2.948962e-02, 4.900000e-03, 5.915345e-04
-3.664603e-02, 3.022116e-02, 4.900000e-03, 1.007179e-02
-3.601097e-02, 3.091555e-02, 4.977684e-03, 1.632629e-01
-3.516331e-02, 3.141840e-02, 5.590420e-03, 7.875328e-02
-3.442377e-02, 3.200574e-02, 5.892270e-03, 1.145542e-03
-3.383538e-02, 3.273147e-02, 5.747315e-03, 3.090333e-02
-3.336618e-02, 3.358175e-02, 5.220826e-03, 2.742261e-01
-3.280549e-02, 3.435185e-02, 4.900000e-03, 1.313558e-02
-3.211887e-02, 3.499469e-02, 4.900000e-03, 3.171277e-03
-3.141965e-02, 3.562381e-02, 4.900000e-03, 6.793394e-04
-3.070812e-02, 3.623895e-02, 4.900000e-03, 3.387077e-03
-2.998454e-02, 3.683989e-02, 4.900000e-03, 3.379309e-02
-2.906592e-02, 3.719185e-02, 5.495309e-03, 9.421796e-02
-2.821162e-02, 3.761054e-02, 5.869199e-03, 7.938717e-03
-2.747963e-02, 3.818715e-02, 5.806673e-03, 2.115269e-02
-2.685180e-02, 3.891753e-02, 5.335884e-03, 1.690961e-01
-2.619613e-02, 3.962338e-02, 4.900000e-03, 3.812307e-02
-2.540643e-02, 4.013432e-02, 4.900000e-03, 2.703797e-03
-2.460676e-02, 4.062951e-02, 4.900000e-03, 2.141583e-05
-2.379744e-02, 4.110878e-02, 4.900000e-03, 5.461278e-03
-2.297880e-02, 4.157193e-02, 4.900000e-03, 3.808632e-02
-2.203665e-02, 4.180160e-02, 5.390994e-03, 1.768483e-01
