# 2D brain simulation: Stokes pressure variance in radial direction as a function of fluid path width
#
# --- Brain parameters (fixed) --- #
# lc = 1.000000e-03 
# arcLen = 0.100000 m
# r_brain = 0.010000 m
# d_ratio = NaN
# r_curv = 0.050000 m
# inner_perturb = (x,z) -> 0.3e-3 * cos(2*pi * abs(x) * 154.639175)
# outer_perturb = (x,z) -> 0.0
# BS_points = 1000
# field_Lc_lim = (0.500000, 1.000000) 
# field_Dist_lim = (0.001000, 0.005000) m 
#
# --- PDE parameters (fixed=) --- #
# μ = 8.000000e-04 Pa*s
# Κ = 1.000000e-16 m^2
# α = (x) -> 1*μ/sqrt(Κ)
# ps0 = (x) -> x[1] < 0 ? 1*133.3224 : 0.
# ∇pd0 = (x) -> VectorValue(0.0, 0.0)
#
# --- Sampling --- #
# num_samples = 10
# num_rad_lines = 100
# width = [5.000e-03, 4.500e-03, 4.000e-03, 3.500e-03, 3.000e-03, 2.500e-03, 2.000e-03, 1.500e-03, 1.000e-03, 5.000e-04]
#
# --- Data --- #
mean_pos_x, mean_pos_y, rad_len, variance
-3.950759e-02, 2.648678e-02, 4.770622e-03, 1.734924e-01
-3.887228e-02, 2.719173e-02, 5.022305e-03, 1.553837e-01
-3.825935e-02, 2.790731e-02, 5.187892e-03, 1.439408e-02
-3.771402e-02, 2.867062e-02, 5.150818e-03, 4.900609e-02
-3.722267e-02, 2.947808e-02, 4.937182e-03, 1.815884e-01
-3.672419e-02, 3.028562e-02, 4.697371e-03, 1.128267e-01
-3.615418e-02, 3.103850e-02, 4.600200e-03, 8.701904e-04
-3.549005e-02, 3.171035e-02, 4.714073e-03, 1.278038e-01
-3.476558e-02, 3.232353e-02, 4.958828e-03, 1.790050e-01
-3.404566e-02, 3.293489e-02, 5.162171e-03, 4.252178e-02
-3.338023e-02, 3.359589e-02, 5.180960e-03, 2.088946e-02
-3.277028e-02, 3.431498e-02, 5.001968e-03, 1.608739e-01
-3.216918e-02, 3.504950e-02, 4.751196e-03, 1.507942e-01
-3.151716e-02, 3.573436e-02, 4.605174e-03, 7.593532e-03
-3.078353e-02, 3.632795e-02, 4.666694e-03, 8.097762e-02
-2.998692e-02, 3.684282e-02, 4.892449e-03, 1.920597e-01
-2.918039e-02, 3.733832e-02, 5.123520e-03, 7.733930e-02
-2.841322e-02, 3.787931e-02, 5.197244e-03, 3.535872e-03
-2.769719e-02, 3.848948e-02, 5.061725e-03, 1.288435e-01
-2.700045e-02, 3.913298e-02, 4.812360e-03, 1.814788e-01
-2.627205e-02, 3.973821e-02, 4.624689e-03, 4.000332e-02
-2.547842e-02, 4.024804e-02, 4.630822e-03, 4.091343e-02
-2.462581e-02, 4.066097e-02, 4.826443e-03, 1.896003e-01
-2.375390e-02, 4.103355e-02, 5.073844e-03, 1.149293e-01
-2.290650e-02, 4.144114e-02, 5.198868e-03, 1.201620e-03
-2.210135e-02, 4.192434e-02, 5.113505e-03, 8.399660e-02
-2.131977e-02, 4.245904e-02, 4.877846e-03, 1.955989e-01
-2.052229e-02, 4.297215e-02, 4.657782e-03, 7.580193e-02
-1.967762e-02, 4.339265e-02, 4.608227e-03, 1.486752e-02
-1.878379e-02, 4.370218e-02, 4.764064e-03, 1.595663e-01
-1.786741e-02, 4.394904e-02, 5.015593e-03, 1.549349e-01
-1.696321e-02, 4.421478e-02, 5.185751e-03, 1.621251e-02
-1.608966e-02, 4.455657e-02, 5.154755e-03, 4.674499e-02
