# 2D brain simulation: Stokes pressure variance in radial direction as a function of fluid path width
#
# --- Brain parameters (fixed) --- #
# lc = 1.000000e-04 
# arcLen = 0.100000 m
# r_brain = 0.010000 m
# d_ratio = NaN
# r_curv = 0.050000 m
# inner_perturb = (x,z) -> 0.3e-3 * cos(pi * abs(x) / 2e-3) 
# outer_perturb = (x,z) -> 0.0 
# BS_points = 1000
# field_Lc_lim = (0.500000, 1.000000) 
# field_Dist_lim = (0.001000, 0.005000) m 
#
# --- PDE parameters (fixed=) --- #
# μ = 8.000000e-04 Pa*s
# Κ = 1.000000e-16 m^2
# α = (x) -> 1*μ/sqrt(Κ)
# ps0 = (x) -> x[1] < 0 ? 1*133.3224 : 0.
# ∇pd0 = (x) -> VectorValue(0.0, 0.0)
#
# --- Sampling --- #
# num_samples = 20
# num_rad_lines = 200
# width = [5.000e-03, 4.763e-03, 4.526e-03, 4.289e-03, 4.053e-03, 3.816e-03, 3.579e-03, 3.342e-03, 3.105e-03, 2.868e-03, 2.632e-03, 2.395e-03, 2.158e-03, 1.921e-03, 1.684e-03, 1.447e-03, 1.211e-03, 9.737e-04, 7.368e-04, 5.000e-04]
#
# --- Data --- #
mean_pos_x, mean_pos_y, rad_len, variance
-3.979364e-02, 2.611402e-02, 4.705969e-03, 7.033742e-06
-3.957417e-02, 2.653706e-02, 4.604031e-03, 7.341686e-07
-3.929227e-02, 2.691863e-02, 4.642568e-03, 5.744701e-06
-3.895664e-02, 2.726218e-02, 4.803291e-03, 1.821234e-05
-3.859940e-02, 2.758838e-02, 5.009914e-03, 1.522723e-05
-3.826060e-02, 2.792555e-02, 5.164369e-03, 3.388041e-06
-3.796923e-02, 2.829621e-02, 5.193346e-03, 8.474429e-07
-3.772967e-02, 2.870598e-02, 5.083093e-03, 1.166578e-05
-3.752003e-02, 2.914044e-02, 4.885938e-03, 2.153995e-05
-3.730286e-02, 2.957149e-02, 4.695458e-03, 1.358858e-05
-3.704308e-02, 2.997057e-02, 4.602059e-03, 3.904873e-07
-3.672452e-02, 3.032238e-02, 4.650072e-03, 8.147958e-06
-3.635728e-02, 3.063261e-02, 4.816708e-03, 2.185190e-05
-3.597251e-02, 3.092565e-02, 5.022877e-03, 1.689830e-05
-3.560744e-02, 3.123330e-02, 5.170725e-03, 3.388370e-06
-3.528769e-02, 3.157960e-02, 5.190079e-03, 1.180188e-06
-3.501542e-02, 3.196904e-02, 5.071753e-03, 1.344494e-05
-3.476871e-02, 3.238397e-02, 4.871908e-03, 2.344231e-05
-3.451237e-02, 3.279255e-02, 4.685396e-03, 1.360219e-05
-3.421477e-02, 3.316379e-02, 4.600742e-03, 1.493328e-07
-3.386269e-02, 3.348241e-02, 4.658124e-03, 1.025910e-05
-3.346725e-02, 3.375655e-02, 4.830308e-03, 2.448284e-05
-3.305818e-02, 3.401429e-02, 5.035570e-03, 1.767246e-05
-3.266950e-02, 3.429052e-02, 5.176486e-03, 3.025019e-06
-3.232338e-02, 3.461035e-02, 5.186174e-03, 1.807262e-06
-3.201999e-02, 3.497678e-02, 5.060035e-03, 1.594854e-05
-3.173787e-02, 3.536885e-02, 4.857939e-03, 2.592662e-05
-3.144452e-02, 3.575128e-02, 4.675806e-03, 1.370447e-05
-3.111196e-02, 3.609106e-02, 4.600082e-03, 1.841858e-08
-3.072981e-02, 3.637339e-02, 4.666709e-03, 1.275130e-05
-3.030982e-02, 3.660905e-02, 4.844062e-03, 2.739229e-05
-2.987982e-02, 3.682965e-02, 5.047965e-03, 1.846263e-05
-2.947029e-02, 3.707282e-02, 5.181640e-03, 2.633746e-06
-2.909996e-02, 3.736421e-02, 5.181640e-03, 2.652831e-06
-2.876728e-02, 3.770505e-02, 5.047965e-03, 1.891489e-05
-2.845172e-02, 3.807109e-02, 4.844062e-03, 2.869048e-05
-2.812388e-02, 3.842385e-02, 4.666709e-03, 1.376156e-05
-2.775957e-02, 3.872886e-02, 4.600082e-03, 2.071150e-08
-2.735109e-02, 3.897217e-02, 4.675806e-03, 1.577220e-05
-2.691039e-02, 3.916732e-02, 4.857939e-03, 3.068346e-05
-2.646295e-02, 3.934930e-02, 5.060035e-03, 1.929434e-05
-2.603544e-02, 3.955797e-02, 5.186174e-03, 2.223191e-06
-2.564317e-02, 3.981914e-02, 5.176486e-03, 3.774956e-06
-2.528325e-02, 4.013194e-02, 5.035570e-03, 2.243945e-05
-2.493652e-02, 4.046890e-02, 4.830308e-03, 3.180229e-05
-2.457705e-02, 4.078875e-02, 4.658124e-03, 1.372101e-05
-2.418454e-02, 4.105600e-02, 4.600742e-03, 2.065341e-07
-2.375372e-02, 4.125792e-02, 4.685396e-03, 1.941213e-05
-2.329630e-02, 4.141095e-02, 4.871908e-03, 3.442486e-05
-2.283498e-02, 4.155313e-02, 5.071753e-03, 2.016752e-05
-2.239241e-02, 4.172616e-02, 5.190079e-03, 1.798080e-06
-2.198062e-02, 4.195547e-02, 5.170725e-03, 5.251582e-06
-2.159572e-02, 4.223792e-02, 5.022877e-03, 2.665672e-05
-2.122039e-02, 4.254295e-02, 4.816708e-03, 3.530611e-05
-2.083248e-02, 4.282692e-02, 4.650072e-03, 1.360686e-05
-2.041561e-02, 4.305377e-02, 4.602059e-03, 6.431966e-07
-1.996662e-02, 4.321239e-02, 4.695458e-03, 2.383095e-05
-1.949658e-02, 4.332207e-02, 4.885938e-03, 3.873069e-05
-1.902500e-02, 4.342362e-02, 5.083093e-03, 2.110417e-05
-1.857037e-02, 4.356006e-02, 5.193346e-03, 1.368766e-06
-1.814157e-02, 4.375607e-02, 5.164369e-03, 7.190212e-06
-1.773416e-02, 4.400604e-02, 5.009914e-03, 3.173146e-05
-1.733308e-02, 4.427652e-02, 4.803291e-03, 3.931421e-05
-1.692022e-02, 4.452191e-02, 4.642568e-03, 1.337995e-05
-1.648305e-02, 4.470615e-02, 4.604031e-03, 1.426218e-06
-1.602025e-02, 4.481995e-02, 4.705969e-03, 2.925691e-05
-1.554175e-02, 4.488545e-02, 4.900000e-03, 4.372136e-05
-1.506354e-02, 4.494589e-02, 5.094031e-03, 2.211108e-05
-1.459986e-02, 4.504506e-02, 5.195969e-03, 9.477735e-07
-1.415669e-02, 4.520649e-02, 5.157432e-03, 9.734565e-06
-1.372943e-02, 4.542204e-02, 4.996709e-03, 3.790798e-05
-1.330571e-02, 4.565558e-02, 4.790086e-03, 4.389755e-05
-1.287164e-02, 4.586007e-02, 4.635631e-03, 1.306621e-05
-1.241847e-02, 4.599986e-02, 4.606654e-03, 2.680305e-06
-1.194631e-02, 4.606779e-02, 4.716907e-03, 3.591196e-05
-1.146355e-02, 4.608871e-02, 4.914062e-03, 4.958949e-05
-1.098233e-02, 4.610784e-02, 5.104542e-03, 2.321589e-05
-1.051264e-02, 4.616930e-02, 5.197941e-03, 5.580444e-07
-1.005783e-02, 4.629508e-02, 5.149928e-03, 1.308712e-05
-9.613568e-03, 4.647445e-02, 4.983292e-03, 4.550187e-05
-9.170544e-03, 4.666896e-02, 4.777123e-03, 4.925718e-05
-8.719261e-03, 4.683057e-02, 4.629275e-03, 1.261978e-05
-8.254538e-03, 4.692454e-02, 4.609921e-03, 4.594069e-06
-7.777556e-03, 4.694598e-02, 4.728247e-03, 4.426085e-05
-7.294705e-03, 4.692231e-02, 4.928092e-03, 5.658807e-05
-6.814054e-03, 4.690028e-02, 5.114604e-03, 2.443384e-05
-6.341387e-03, 4.692382e-02, 5.199258e-03, 2.345567e-07
-5.877736e-03, 4.701306e-02, 5.141876e-03, 1.753993e-05
-5.419491e-03, 4.715475e-02, 4.969692e-03, 5.497738e-05
-4.960732e-03, 4.730841e-02, 4.764430e-03, 5.557228e-05
-4.496414e-03, 4.742557e-02, 4.623514e-03, 1.204308e-05
-4.024712e-03, 4.747279e-02, 4.613826e-03, 7.430285e-06
-3.547453e-03, 4.744759e-02, 4.739965e-03, 5.478762e-05
-3.068639e-03, 4.737970e-02, 4.942061e-03, 6.507950e-05
-2.592074e-03, 4.731696e-02, 5.124194e-03, 2.581176e-05
-2.119443e-03, 4.730258e-02, 5.199918e-03, 3.071871e-08
-1.649833e-03, 4.735462e-02, 5.133291e-03, 2.351314e-05
