# 2D brain simulation: Pressure variance in radial direction under decrease of fluid path width
#
# --- Brain parameters --- #
# lc = 1.000000e-03
# arcLen = 0.100000
# r_brain = 0.010000
# d_ratio = [0.033333, 0.018333, 0.003333]
# r_curv = 0.150000
# BS_points = 20
# field_Lc_lim = (0.500000, 0.500000) 
# field_Dist_lim = (0.001000, 0.001000) 
#
# --- PDE parameters --- #
# μ = 8.000000e-04
# Κ = 1.000000e-16
#
# --- Sampling --- #
# num_samples = 3
# num_rad_lines = 10
# width = [5.000e-03, 2.750e-03, 5.000e-04]
#
# --- Data --- #
# mean_pos_x, mean_pos_y, rad_len, variance
-3.973044e-02, 1.420484e-01, 5.000000e-03, 3.025830e-11
-3.105377e-02, 1.441940e-01, 5.000000e-03, 6.603944e-12
-2.226307e-02, 1.458102e-01, 5.000000e-03, 1.077700e-11
-1.339063e-02, 1.468909e-01, 5.000000e-03, 5.922294e-12
-4.469013e-03, 1.474323e-01, 5.000000e-03, 6.889209e-12
4.469013e-03, 1.474323e-01, 5.000000e-03, 5.150955e-12
1.339063e-02, 1.468909e-01, 5.000000e-03, 2.265564e-11
2.226307e-02, 1.458102e-01, 5.000000e-03, 8.866363e-11
3.105377e-02, 1.441940e-01, 5.000000e-03, 1.564531e-10
3.973044e-02, 1.420484e-01, 5.000000e-03, 2.396377e-09
-4.003347e-02, 1.431318e-01, 2.750000e-03, 1.215899e-12
-3.129062e-02, 1.452938e-01, 2.750000e-03, 1.786564e-12
-2.243288e-02, 1.469223e-01, 2.750000e-03, 1.755208e-12
-1.349276e-02, 1.480113e-01, 2.750000e-03, 6.292334e-13
-4.503099e-03, 1.485568e-01, 2.750000e-03, 7.028475e-13
4.503099e-03, 1.485568e-01, 2.750000e-03, 8.955378e-12
1.349276e-02, 1.480113e-01, 2.750000e-03, 1.519561e-12
2.243288e-02, 1.469223e-01, 2.750000e-03, 2.254663e-11
3.129062e-02, 1.452938e-01, 2.750000e-03, 5.465993e-11
4.003347e-02, 1.431318e-01, 2.750000e-03, 1.889252e-10
-4.033650e-02, 1.442152e-01, 5.000000e-04, 1.664104e-12
-3.152747e-02, 1.463936e-01, 5.000000e-04, 3.519850e-13
-2.260268e-02, 1.480344e-01, 5.000000e-04, 7.891806e-14
-1.359489e-02, 1.491316e-01, 5.000000e-04, 4.594383e-13
-4.537184e-03, 1.496812e-01, 5.000000e-04, 1.364802e-13
4.537184e-03, 1.496812e-01, 5.000000e-04, 1.965280e-13
1.359489e-02, 1.491316e-01, 5.000000e-04, 1.406970e-12
2.260268e-02, 1.480344e-01, 5.000000e-04, 5.611561e-13
3.152747e-02, 1.463936e-01, 5.000000e-04, 7.126716e-12
4.033650e-02, 1.442152e-01, 5.000000e-04, 1.663649e-10
