# 2D brain simulation: l²-norm difference between final lc and previous lc respectively
#
# --- Brain parameters (fixed) --- #
# lc = NaN 
# arcLen = 0.100000 m
# r_brain = 0.010000 m
# d_ratio = 0.150000
# r_curv = 0.050000 m
# inner_perturb = (x,z) -> 0.3e-3 * cos(pi * abs(x) / 2e-3) 
# outer_perturb = (x,z) -> 0.0 
# BS_points = 1000
# field_Lc_lim = (0.500000, 1.000000) 
# field_Dist_lim = (0.001000, 0.005000) m 
#
# --- PDE parameters (fixed=) --- #
# μ = 8.000000e-04 Pa*s
# Κ = 1.000000e-16 m^2
# α = (x) -> 1*μ/sqrt(Κ)
# ps0 = (x) -> x[1] < 0 ? 1*133.3224 : 0.
# ∇pd0 = (x) -> VectorValue(0.0, 0.0)
#
# --- Sampling --- #
# num_samples = 15
# lc = [5.000e-05, 7.300e-05, 1.066e-04, 1.556e-04, 2.272e-04, 3.317e-04, 4.843e-04, 7.071e-04, 1.032e-03, 1.507e-03, 2.201e-03, 3.213e-03, 4.691e-03, 6.849e-03, 1.000e-02]
#
# --- Data --- #
lc, l²_Δus, l²_Δps, l²_Δpd
5.000000e-05, 0.000000e+00, 0.000000e+00, 0.000000e+00
7.300108e-05, 5.809174e-05, 2.427700e-04, 3.501333e-04
1.065832e-04, 1.808229e-04, 6.032201e-04, 9.665909e-04
1.556137e-04, 4.404342e-04, 1.337056e-03, 1.258607e-03
2.271994e-04, 9.872411e-04, 2.798347e-03, 1.458780e-03
3.317160e-04, 2.116970e-03, 6.472742e-03, 8.453985e-04
4.843125e-04, 4.425474e-03, 1.490502e-02, 4.847452e-03
7.071068e-04, 9.288739e-03, 2.949556e-02, 9.436180e-03
1.032391e-03, 1.935956e-02, 5.039655e-02, 2.487535e-02
1.507313e-03, 4.140210e-02, 1.868786e-01, 8.076380e-02
2.200710e-03, 9.265586e-02, 3.360594e-01, 1.931173e-01
3.213084e-03, 1.713601e-01, 6.211315e-01, 3.820309e-01
4.691173e-03, 2.951578e-01, 7.667167e-01, 3.922635e-01
6.849214e-03, 3.142777e-01, 4.365263e+00, 2.822331e+00
1.000000e-02, 2.716058e-01, 9.035111e+00, 6.821076e+00
